,netkeiba_id,japanese_name,english_name,foaled_date,trained_at,wins,starts,average_race_weight
99,2011104377,サウンズオブアース,Sounds of Earth,12 APR 2011,Ritto,2,30,499.86206896551727
100,1990104491,ロイスアンドロイス,Royce and Royce,10 MAR 1990,Miho,3,28,494.64285714285717
101,1980101425,カツラギエース,Katsuragi Ace,24 APR 1980,Ritto,10,22,
102,2000101426,ネオユニヴァース,Neo Universe,21 MAY 2000,Ritto,7,13,490.3076923076923
103,1999104693,ヒシミラクル,Hishi Miracle,31 MAR 1999,Ritto,6,28,457.57142857142856
104,1997110043,タップダンスシチー,Tap Dance City,16 MAR 1997,Ritto,12,42,503.5121951219512
105,2012104511,ドゥラメンテ,Duramente,22 MAR 2012,Miho,5,9,487.5
106,2002100959,ラインクラフト,Rhein Kraft,04 APR 2002,Ritto,6,13,460.3076923076923
107,2002100844,シーザリオ,Cesario,31 MAR 2002,Ritto,5,6,458.4
108,2002100516,エアメサイア,Air Messiah,04 FEB 2002,Ritto,4,12,465.6666666666667
109,2003103043,フサイチパンドラ,Fusaichi Pandora,27 FEB 2003,Ritto,4,21,498.0952380952381
110,2006103319,ブエナビスタ,Buena Vista,14 MAR 2006,Ritto,9,23,456.2857142857143
111,2008102636,オルフェーヴル,Orfevre,14 MAY 2008,Ritto,12,21,455.29411764705884
112,2009106253,ジェンティルドンナ,Gentildonna,20 FEB 2009,Ritto,10,19,468.2352941176471
113,2008103206,ウインバリアシオン,Win Variation,10 APR 2008,Ritto,4,23,517.4782608695652
114,2004102753,ドリームジャーニー,Dream Journey,24 FEB 2004,Ritto,9,31,423.16129032258067
115,1998103333,カルストンライトオ,Calstone Light O,03 MAY 1998,Ritto,9,36,493.8333333333333
116,1999106756,デュランダル,Durandal,25 MAY 1999,Ritto,8,18,453.8333333333333
117,1993109219,バブルガムフェロー,Bubble Gum Fellow,11 APR 1993,Miho,7,13,482.15384615384613
118,2009106599,フェノーメノ,Fenomeno,20 APR 2009,Miho,7,18,494.77777777777777
119,2015104961,アーモンドアイ,Almond Eye,10 MAR 2015,Miho,11,15,477.57142857142856
120,2016104532,グランアレグリア,Gran Alegria,24 JAN 2016,Miho,9,15,488.6666666666667
121,2016104648,ラヴズオンリーユー,Loves Only You,26 MAR 2016,Ritto,8,16,470.7692307692308
122,2016104750,クロノジェネシス,Chrono Genesis,06 MAR 2016,Ritto,8,17,452.53333333333336
123,1994108729,ステイゴールド,Stay Gold,24 MAR 1994,Ritto,7,50,424.0816326530612
124,2014101976,キセキ,Kiseki,13 MAY 2014,Ritto,4,33,501.46666666666664
125,2007102923,ヴィクトワールピサ,Victoire Pisa,31 MAR 2007,Ritto,8,15,511.5
